,# of bumps,# of inflections,curvature,min i,max i,x min,x max,y min,y max,S,criticality
3642,0,0,-0.04875768961682339,37,44,4.007333185232471,4.382026634673881,-9.381412812326182,-9.524513655966857,1.05970934033524,1
3643,2,0,5.303722962963084,39,54,4.04305126783455,4.836281906951478,-11.27004128979473,-6.457856934422312,1.0569448203212626,3
3644,2,0,-2.9627681036412077,52,54,3.970291913552122,4.007333185232471,-6.194168058719555,-5.861023612191016,1.0346168174189456,3
3645,0,0,-3.6141508244747076,45,58,4.454347296253507,5.170483995038151,-12.126664663398962,-6.925409009694057,1.0615818059561366,3
3646,0,0,5.600052434155313,26,27,3.295836866004329,3.332204510175204,-10.300920488947028,-9.607773308387083,1.0432690413143377,1
3647,1,0,2.6321781509795708,59,58,4.0943445622221,4.07753744390572,-8.98590431907488,-8.6982222466231,1.0349313466111576,3
3648,0,0,-4.927460422004979,12,0,2.5649493574615367,0.0,-10.303470997075054,-0.29620918632247156,1.0707788291211264,1
3649,1,0,-13.49348516231454,33,45,3.6888794541139363,4.2626798770413155,-8.975794561270513,-5.0271182381943325,1.0488461618257456,3
3650,0,0,1.8204445402161866,31,43,3.58351893845611,4.1588830833596715,-7.450519923859266,-5.567130131785287,1.0485545590278058,3
3651,4,0,3.5364957290754666,26,29,3.295836866004329,3.4011973816621555,-6.029543800699903,-5.803016151401453,1.0364803731663164,2
3652,1,0,-12.607172603640736,51,55,4.820281565605037,5.043425116919247,-10.381358339359997,-5.392116937951413,1.1083597537860872,3
3653,1,0,7.485858436719915,43,48,4.330733340286331,4.59511985013459,-8.496427244019284,-8.088381489317626,1.0581275249661588,2
3654,1,0,0.48953799964549843,55,55,4.02535169073515,4.02535169073515,-10.181535869019624,-10.181535869019624,1.036189031788472,2
3655,3,0,-4.106478891108262,-1,-1,4.007333185232471,4.007333185232471,-10.31731757697592,-10.31731757697592,1.0374511420102652,2
3656,1,0,3.844217787311777,28,31,3.367295829986474,3.4657359027997265,-6.521149668797216,-6.378048825156543,1.0374859116544275,1
3657,2,0,1.731952123359118,49,54,4.574710978503383,4.836281906951478,-11.413984774257905,-5.008756316227064,1.0774716224508814,3
3658,1,0,-2.1590993314704434,-1,-1,4.31748811353631,4.31748811353631,-9.915761913411517,-9.915761913411517,1.0339947731259727,3
3659,0,0,-1.066886753282369,46,50,4.30406509320417,4.499809670330265,-11.930987563452817,-10.832375274784706,1.049205619175054,1
3660,0,0,0.4897904253592767,41,55,4.276666119016055,5.043425116919247,-10.843982621922695,-7.22807218767535,1.0604719176286155,3
3661,0,0,17.625509850067186,62,63,5.438079308923196,5.493061443340548,-12.622998036121205,-11.524385747453094,1.096166537514803,3
3662,1,0,-2.235765419657622,50,55,4.653960350157523,4.912654885736052,-11.437874291731925,-5.098523306718289,1.1094205390242027,3
3663,3,0,5.1500216515766954,30,44,3.5263605246161616,4.189654742026425,-9.769922826022704,-5.002067057757517,1.0476061321488408,3
3664,1,0,6.57491008793292,45,55,4.663439094112067,5.278114659230517,-13.247124633978395,-7.515132702852782,1.0757331226947224,3
3665,0,0,-4.442041046005353,17,16,2.8903717578961645,2.833213344056216,-11.445727410406752,-10.752580229846807,1.057133562275684,1
3666,0,0,-2.99257672312957,41,53,4.1588830833596715,4.762173934797756,-11.132239098147434,-5.065357911754698,1.0880132370837043,3
3667,4,0,12.409283540604974,42,54,4.189654742026425,4.804021044733257,-11.306083437911418,-5.600081206516905,1.0613979537979474,3
3668,0,0,1.2859167785176975,7,0,2.0794415416798357,0.0,-10.411418992188782,-0.1214792707264209,1.0983367540675646,1
3669,0,0,17.774843923145998,36,51,3.871201010907891,4.61512051684126,-9.484484130287585,-6.039801636685691,1.0528165769062403,3
3670,3,0,11.229282315605657,48,50,3.8918202981106265,3.9318256327243257,-5.616366975616214,-5.511006459958387,1.034208199679317,3
3671,1,0,-0.5639707206745345,57,60,5.4638318050256105,5.655991810819852,-10.012433039543485,-9.421564708103956,1.0722909112609238,3
3672,1,0,5.349758705650279,35,48,3.784189633918261,4.394449154672439,-9.806527762873309,-5.323525210859425,1.053277405511965,3
3673,2,0,-2.5846802048069284,48,56,4.624972813284271,5.056245805348308,-11.808721140089396,-5.67153418863579,1.0910385430302112,3
3674,1,0,2.168814649858237,44,44,3.8066624897703196,3.8066624897703196,-10.25164129393118,-10.25164129393118,1.036927310472674,2
3675,0,0,-4.80250892635598,56,59,6.74993119378857,7.030857476116121,-14.352662784150164,-12.43685066625213,1.0978445866256648,3
3676,0,0,3.0834021344592086,9,0,2.302585092994046,0.0,-9.665864679957084,-0.07551376934520497,1.0865384879122533,1
3677,1,0,6.7503707880330905,30,32,3.5553480614894135,3.6635616461296463,-6.689427416235562,-6.487561263368637,1.0491043849360162,2
3678,0,0,12.482464282024534,4,0,1.6094379124341003,0.0,-10.431465235119685,-0.062986595161365,1.0580243681267307,1
3679,2,0,-0.49831727625675365,34,39,3.5553480614894135,3.6888794541139363,-10.446538323596856,-9.347926034928745,1.038979793818443,1
3680,0,0,15.246385908511025,25,40,3.295836866004329,4.007333185232471,-6.935677587046447,-5.47951354596607,1.0476061321488408,3
3681,0,0,-4.442935884688987,6,0,1.9459101490553132,0.0,-8.973668220432147,-0.1457602574535557,1.0580243681267307,1
3682,1,0,-2.3127387584589245,27,39,3.332204510175204,3.6888794541139363,-5.990644538861951,-6.437956756905616,1.0372306046476216,3
3683,1,0,2.721386936686957,35,25,3.58351893845611,3.258096538021482,-10.278768329466978,-7.4455549854107606,1.0409349154709795,1
3684,1,0,-0.3216270129101801,27,23,3.332204510175204,3.1780538303479458,-10.417627677269948,-9.724480496710003,1.0431031674884332,1
3685,1,0,-15.78942703404804,43,52,4.189654742026425,4.61512051684126,-11.092929290441099,-4.947885655404815,1.064569430088972,3
3686,1,0,-30.87214004342233,53,58,4.90527477843843,5.181783550292085,-12.183903302497736,-6.083808590864305,1.102685075465872,3
3687,1,0,-2.0032519888192466,46,37,4.276666119016055,3.871201010907891,-10.977155894948874,-7.738477442784493,1.0478249822264285,1
3688,2,0,-11.009767156710256,45,39,3.828641396489095,3.6888794541139363,-10.427002327418107,-9.328390038749998,1.0374000831082473,1
3689,1,0,-7.946731799276822,10,0,2.3978952727983707,0.0,-11.553174495377892,-0.20051168368267172,1.063086100636715,1
3690,0,0,9.07069878467418,43,46,4.174387269895637,4.31748811353631,-12.696153833637688,-12.290688725529524,1.0488461618257456,2
3691,1,0,-9.936269428304803,38,47,3.912023005428146,4.330733340286331,-7.278845020639459,-6.226752747606241,1.0500610014864962,3
3692,1,0,-0.07412931176832614,-1,-1,3.713572066704308,3.713572066704308,-10.073783971302351,-10.073783971302351,1.046882007217431,2
3693,0,0,1.5821051191050814,53,56,5.1298987149230735,5.313205979041787,-10.777761195486324,-10.45930746436779,1.0680442538709713,2
3694,2,0,2.1176423278693135,34,32,3.5553480614894135,3.4965075614664802,-10.455186369511699,-9.762039188951753,1.040852396563292,1
3695,1,0,0.2817919108393471,33,35,3.6888794541139363,3.784189633918261,-6.837023683386235,-6.7206133315418235,1.0468816092429831,3
3696,1,0,12.985302213908001,46,52,4.356708826689592,4.653960350157523,-11.107165313341005,-4.9417474591095845,1.0708841939043077,3
3697,2,0,8.547287862227778,35,45,3.784189633918261,4.2626798770413155,-7.676619081102861,-5.385868445755818,1.049205619175054,3
